as_on_date,unique_id,ngo_name,ngo_email,state_of_registration,registered_district,registered_subdistrict,type_of_ngo,registration_authority,registration_number,act_name,date_of_registration,sectors,operational_district,operational_state,source_url
2026-09-16,DARPAN_100561,Navjeevan Network 86 (Vadodara),contact@navjeevannet.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/386/2001/8059,"Societies Registration Act, 1860",2021-06-11,Healthcare & Medical,Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_100561
2026-09-16,DARPAN_100561,Navjeevan Network 86 (Rajkot),contact@navjeevannet.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/386/2001/8059,"Societies Registration Act, 1860",2021-06-11,Healthcare & Medical,Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_100561
2026-09-16,DARPAN_369845,Manav Initiative 87,contact@manavinitiat.org,Delhi,North Delhi,North Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/432/2012/4341,"Indian Trusts Act, 1882",2013-07-05,"Women Empowerment, Rural Development",North Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_369845
2026-09-16,DARPAN_369845,Manav Initiative 87 (New Delhi),contact@manavinitiat.org,Delhi,North Delhi,North Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/432/2012/4341,"Indian Trusts Act, 1882",2013-07-05,"Women Empowerment, Rural Development",New Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_369845
2026-09-16,DARPAN_369845,Manav Initiative 87 (Central Delhi),contact@manavinitiat.org,Delhi,North Delhi,North Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/432/2012/4341,"Indian Trusts Act, 1882",2013-07-05,"Women Empowerment, Rural Development",Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_369845
2026-09-16,DARPAN_478387,Vikas Association 88,contact@vikasassocia.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/531/2010/4452,"Companies Act, 2013",2010-03-04,"Nutrition & Food Security, Women Empowerment, Education",Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_478387
2026-09-16,DARPAN_478387,Vikas Association 88 (Jaipur),contact@vikasassocia.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/531/2010/4452,"Companies Act, 2013",2010-03-04,"Nutrition & Food Security, Women Empowerment, Education",Jaipur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_478387
2026-09-16,DARPAN_478387,Vikas Association 88 (Udaipur),contact@vikasassocia.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/531/2010/4452,"Companies Act, 2013",2010-03-04,"Nutrition & Food Security, Women Empowerment, Education",Udaipur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_478387
2026-09-16,DARPAN_836789,Samarpan Network 89,contact@samarpannetw.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/926/2004/1388,"Companies Act, 2013",2017-10-28,"Environment & Forests, Nutrition & Food Security, Skill Development & Livelihood",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_836789
2026-09-16,DARPAN_836789,Samarpan Network 89 (Kozhikode),contact@samarpannetw.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/926/2004/1388,"Companies Act, 2013",2017-10-28,"Environment & Forests, Nutrition & Food Security, Skill Development & Livelihood",Kozhikode,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_836789
2026-09-16,DARPAN_836789,Samarpan Network 89 (Thrissur),contact@samarpannetw.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/926/2004/1388,"Companies Act, 2013",2017-10-28,"Environment & Forests, Nutrition & Food Security, Skill Development & Livelihood",Thrissur,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_836789
2026-09-16,DARPAN_156352,Seva Sansthan 90,,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/303/2017/7866,"Indian Trusts Act, 1882",2015-03-23,"Water & Sanitation, Women Empowerment",Kanpur Nagar,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_156352
2026-09-16,DARPAN_156352,Seva Sansthan 90 (Varanasi),contact@sevasansthan.org,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/303/2017/7866,"Indian Trusts Act, 1882",2015-03-23,"Water & Sanitation, Women Empowerment",Varanasi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_156352
2026-09-16,DARPAN_156352,Seva Sansthan 90 (Lucknow),contact@sevasansthan.org,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/303/2017/7866,"Indian Trusts Act, 1882",2015-03-23,"Water & Sanitation, Women Empowerment",Lucknow,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_156352
2026-09-16,DARPAN_729088,Sankalp Network 91,contact@sankalpnetwo.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/347/2020/4156,"Societies Registration Act, 1860",2017-01-26,"Women Empowerment, Nutrition & Food Security, Water & Sanitation",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_729088
2026-09-16,DARPAN_729088,Sankalp Network 91 (Mysuru),contact@sankalpnetwo.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/347/2020/4156,"Societies Registration Act, 1860",2017-01-26,"Women Empowerment, Nutrition & Food Security, Water & Sanitation",Mysuru,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_729088
2026-09-16,DARPAN_729088,Sankalp Network 91 (Belagavi),contact@sankalpnetwo.org,Karnataka,Mangaluru,Mangaluru Taluk,Society,Registrar of Societies,SOC/347/2020/4156,"Societies Registration Act, 1860",2017-01-26,"Women Empowerment, Nutrition & Food Security, Water & Sanitation",Belagavi,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_729088
2026-09-16,DARPAN_883369,Gramin Network 92,contact@graminnetwor.org,Odisha,Khordha,Khordha Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/492/2022/4272,"Companies Act, 2013",2017-11-27,Nutrition & Food Security,Khordha,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_883369
2026-09-16,DARPAN_883369,Gramin Network 92 (Puri),contact@graminnetwor.org,Odisha,Khordha,Khordha Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/492/2022/4272,"Companies Act, 2013",2017-11-27,Nutrition & Food Security,Puri,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_883369
2026-09-16,DARPAN_883369,Gramin Network 92 (Cuttack),contact@graminnetwor.org,Odisha,Khordha,Khordha Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/492/2022/4272,"Companies Act, 2013",2017-11-27,Nutrition & Food Security,Cuttack,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_883369
2026-09-16,DARPAN_574409,Manav Initiative 93,,Delhi,North Delhi,North Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/170/2012/7931,"Indian Trusts Act, 1882",2023-10-21,Child Welfare,North Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_574409
2026-09-16,DARPAN_574409,Manav Initiative 93 (Nagpur),contact@manavinitiat.org,Delhi,North Delhi,North Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/170/2012/7931,"Indian Trusts Act, 1882",2023-10-21,Child Welfare,Nagpur,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_574409
2026-09-16,DARPAN_359533,Goonj Trust 94,contact@goonjtrust94.org,Tamil Nadu,Chennai,Chennai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/796/2013/4740,"Companies Act, 2013",2019-03-25,Environment & Forests,Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_359533
2026-09-16,DARPAN_359533,Goonj Trust 94 (Madurai),,Tamil Nadu,Chennai,Chennai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/796/2013/4740,"Companies Act, 2013",2019-03-25,Environment & Forests,Madurai,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_359533
2026-09-16,DARPAN_359533,Goonj Trust 94 (Coimbatore),contact@goonjtrust94.org,Tamil Nadu,Chennai,Chennai Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/796/2013/4740,"Companies Act, 2013",2019-03-25,Environment & Forests,Coimbatore,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_359533
2026-09-16,DARPAN_904950,Prerna Association 95,contact@prernaassoci.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/304/2014/5997,"Companies Act, 2013",2024-11-15,"Women Empowerment, Water & Sanitation",Belagavi,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904950
2026-09-16,DARPAN_904950,Prerna Association 95 (Dharwad),contact@prernaassoci.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/304/2014/5997,"Companies Act, 2013",2024-11-15,"Women Empowerment, Water & Sanitation",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904950
2026-09-16,DARPAN_904950,Prerna Association 95 (Mangaluru),contact@prernaassoci.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/304/2014/5997,"Companies Act, 2013",2024-11-15,"Women Empowerment, Water & Sanitation",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904950
2026-09-16,DARPAN_226913,Sneha Trust 96,contact@snehatrust96.org,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/585/1996/9287,"Indian Trusts Act, 1882",2020-02-10,"Nutrition & Food Security, Disaster Relief & Rehabilitation",Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_226913
2026-09-16,DARPAN_226913,Sneha Trust 96 (North Delhi),contact@snehatrust96.org,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/585/1996/9287,"Indian Trusts Act, 1882",2020-02-10,"Nutrition & Food Security, Disaster Relief & Rehabilitation",North Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_226913
2026-09-16,DARPAN_226913,Sneha Trust 96 (South Delhi),contact@snehatrust96.org,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/585/1996/9287,"Indian Trusts Act, 1882",2020-02-10,"Nutrition & Food Security, Disaster Relief & Rehabilitation",South Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_226913
2026-09-16,DARPAN_399986,Jan Kalyan Samiti 97,contact@jankalyansam.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/928/2007/2409,"Companies Act, 2013",2014-11-04,Nutrition & Food Security,Belagavi,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_399986
2026-09-16,DARPAN_399986,Jan Kalyan Samiti 97 (Mangaluru),contact@jankalyansam.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/928/2007/2409,"Companies Act, 2013",2014-11-04,Nutrition & Food Security,Mangaluru,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_399986
2026-09-16,DARPAN_399986,Jan Kalyan Samiti 97 (Bengaluru Urban),contact@jankalyansam.org,Karnataka,Belagavi,Belagavi Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/928/2007/2409,"Companies Act, 2013",2014-11-04,Nutrition & Food Security,Bengaluru Urban,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_399986
2026-09-16,DARPAN_918107,Kalyan Association 98,contact@kalyanassoci.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/814/2001/1884,"Societies Registration Act, 1860",2022-10-16,Disaster Relief & Rehabilitation,South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_918107
2026-09-16,DARPAN_918107,Kalyan Association 98 (Central Delhi),contact@kalyanassoci.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/814/2001/1884,"Societies Registration Act, 1860",2022-10-16,Disaster Relief & Rehabilitation,Central Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_918107
2026-09-16,DARPAN_918107,Kalyan Association 98 (New Delhi),contact@kalyanassoci.org,Delhi,South Delhi,South Delhi Taluk,Society,Registrar of Societies,SOC/814/2001/1884,"Societies Registration Act, 1860",2022-10-16,Disaster Relief & Rehabilitation,New Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_918107
2026-09-16,DARPAN_787842,Navjeevan Samiti 99,contact@navjeevansam.org,Maharashtra,Thane,Thane Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/288/2023/6199,"Indian Trusts Act, 1882",2024-01-23,"Environment & Forests, Education, Rural Development",Thane,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_787842
2026-09-16,DARPAN_787842,Navjeevan Samiti 99 (Raigad),contact@navjeevansam.org,Maharashtra,Thane,Thane Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/288/2023/6199,"Indian Trusts Act, 1882",2024-01-23,"Environment & Forests, Education, Rural Development",Raigad,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_787842
2026-09-16,DARPAN_884532,Samarpan Samiti 100,contact@samarpansami.org,Rajasthan,Kota,Kota Taluk,Society,Registrar of Societies,SOC/181/2017/9284,"Societies Registration Act, 1860",2025-08-20,Women Empowerment,Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_884532
2026-09-16,DARPAN_884532,Samarpan Samiti 100 (Jodhpur),contact@samarpansami.org,Rajasthan,Kota,Kota Taluk,Society,Registrar of Societies,SOC/181/2017/9284,"Societies Registration Act, 1860",2025-08-20,Women Empowerment,Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_884532
2026-09-16,DARPAN_521860,Kalyan Samiti 101,contact@kalyansamiti.org,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/944/2016/2765,"Societies Registration Act, 1860",2010-12-12,"Women Empowerment, Child Welfare, Water & Sanitation",Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_521860
2026-09-16,DARPAN_521860,Kalyan Samiti 101 (Howrah),contact@kalyansamiti.org,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/944/2016/2765,"Societies Registration Act, 1860",2010-12-12,"Women Empowerment, Child Welfare, Water & Sanitation",Howrah,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_521860
2026-09-16,DARPAN_521860,Kalyan Samiti 101 (North 24 Parganas),contact@kalyansamiti.org,West Bengal,Kolkata,Kolkata Taluk,Society,Registrar of Societies,SOC/944/2016/2765,"Societies Registration Act, 1860",2010-12-12,"Women Empowerment, Child Welfare, Water & Sanitation",North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_521860
2026-09-16,DARPAN_568894,Sankalp Samiti 102,,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/575/2015/2860,"Indian Trusts Act, 1882",2022-03-25,"Child Welfare, Women Empowerment, Disaster Relief & Rehabilitation",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_568894
2026-09-16,DARPAN_568894,Sankalp Samiti 102 (Ernakulam),contact@sankalpsamit.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/575/2015/2860,"Indian Trusts Act, 1882",2022-03-25,"Child Welfare, Women Empowerment, Disaster Relief & Rehabilitation",Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_568894
2026-09-16,DARPAN_568894,Sankalp Samiti 102 (Thrissur),contact@sankalpsamit.org,Kerala,Thiruvananthapuram,Thiruvananthapuram Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/575/2015/2860,"Indian Trusts Act, 1882",2022-03-25,"Child Welfare, Women Empowerment, Disaster Relief & Rehabilitation",Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_568894
2026-09-16,DARPAN_526068,Kalyan Association 103,contact@kalyanassoci.org,Rajasthan,Udaipur,Udaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/646/2010/7265,"Companies Act, 2013",2025-07-12,"Healthcare & Medical, Child Welfare",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_526068
2026-09-16,DARPAN_526068,Kalyan Association 103 (Kota),contact@kalyanassoci.org,Rajasthan,Udaipur,Udaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/646/2010/7265,"Companies Act, 2013",2025-07-12,"Healthcare & Medical, Child Welfare",Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_526068
2026-09-16,DARPAN_219185,Navjeevan Sansthan 104,contact@navjeevansan.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/922/2026/3291,"Companies Act, 2013",2015-07-01,Women Empowerment,Jodhpur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_219185
2026-09-16,DARPAN_219185,Navjeevan Sansthan 104 (Udaipur),contact@navjeevansan.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/922/2026/3291,"Companies Act, 2013",2015-07-01,Women Empowerment,Udaipur,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_219185
2026-09-16,DARPAN_219185,Navjeevan Sansthan 104 (Kota),contact@navjeevansan.org,Rajasthan,Jodhpur,Jodhpur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/922/2026/3291,"Companies Act, 2013",2015-07-01,Women Empowerment,Kota,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_219185
2026-09-16,DARPAN_979387,Sneha Network 105,contact@snehanetwork.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/962/2008/3721,"Companies Act, 2013",1998-12-05,"Skill Development & Livelihood, Child Welfare, Water & Sanitation",Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_979387
2026-09-16,DARPAN_979387,Sneha Network 105 (Vadodara),contact@snehanetwork.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/962/2008/3721,"Companies Act, 2013",1998-12-05,"Skill Development & Livelihood, Child Welfare, Water & Sanitation",Vadodara,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_979387
2026-09-16,DARPAN_979387,Sneha Network 105 (Surat),contact@snehanetwork.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/962/2008/3721,"Companies Act, 2013",1998-12-05,"Skill Development & Livelihood, Child Welfare, Water & Sanitation",Surat,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_979387
2026-09-16,DARPAN_796773,Sahyog Sansthan 106,contact@sahyogsansth.org,Tamil Nadu,Chennai,Chennai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/944/2004/5368,"Indian Trusts Act, 1882",2025-05-20,Skill Development & Livelihood,Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_796773
2026-09-16,DARPAN_796773,Sahyog Sansthan 106 (Salem),contact@sahyogsansth.org,Tamil Nadu,Chennai,Chennai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/944/2004/5368,"Indian Trusts Act, 1882",2025-05-20,Skill Development & Livelihood,Salem,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_796773
2026-09-16,DARPAN_796773,Sahyog Sansthan 106 (Coimbatore),contact@sahyogsansth.org,Tamil Nadu,Chennai,Chennai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/944/2004/5368,"Indian Trusts Act, 1882",2025-05-20,Skill Development & Livelihood,Coimbatore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_796773
2026-09-16,DARPAN_465805,Sneha Mission 107,contact@snehamission.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/494/2004/9813,"Companies Act, 2013",2011-07-12,"Environment & Forests, Disaster Relief & Rehabilitation",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_465805
2026-09-16,DARPAN_465805,Sneha Mission 107 (Mangaluru),contact@snehamission.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/494/2004/9813,"Companies Act, 2013",2011-07-12,"Environment & Forests, Disaster Relief & Rehabilitation",Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_465805
2026-09-16,DARPAN_465805,Sneha Mission 107 (Dharwad),contact@snehamission.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/494/2004/9813,"Companies Act, 2013",2011-07-12,"Environment & Forests, Disaster Relief & Rehabilitation",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_465805
2026-09-16,DARPAN_175137,Uday Mission 108,contact@udaymission1.org,Odisha,Khordha,Khordha Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/723/2006/4852,"Indian Trusts Act, 1882",2023-01-20,"Women Empowerment, Healthcare & Medical",Khordha,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_175137
2026-09-16,DARPAN_175137,Uday Mission 108 (Cuttack),contact@udaymission1.org,Odisha,Khordha,Khordha Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/723/2006/4852,"Indian Trusts Act, 1882",2023-01-20,"Women Empowerment, Healthcare & Medical",Cuttack,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_175137
2026-09-16,DARPAN_175137,Uday Mission 108 (Dharwad),contact@udaymission1.org,Odisha,Khordha,Khordha Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/723/2006/4852,"Indian Trusts Act, 1882",2023-01-20,"Women Empowerment, Healthcare & Medical",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_175137
2026-09-16,DARPAN_733992,Sahyog Society 109,contact@sahyogsociet.org,West Bengal,North 24 Parganas,North 24 Parganas Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/516/2008/1306,"Indian Trusts Act, 1882",2014-05-09,"Rural Development, Healthcare & Medical",North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_733992
2026-09-16,DARPAN_350940,Umeed Mission 110,contact@umeedmission.org,Delhi,South Delhi,South Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/400/1999/1506,"Indian Trusts Act, 1882",2022-04-22,"Disaster Relief & Rehabilitation, Nutrition & Food Security",South Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_350940
2026-09-16,DARPAN_350940,Umeed Mission 110 (Central Delhi),contact@umeedmission.org,Delhi,South Delhi,South Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/400/1999/1506,"Indian Trusts Act, 1882",2022-04-22,"Disaster Relief & Rehabilitation, Nutrition & Food Security",Central Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_350940
2026-09-16,DARPAN_350940,Umeed Mission 110 (New Delhi),contact@umeedmission.org,Delhi,South Delhi,South Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/400/1999/1506,"Indian Trusts Act, 1882",2022-04-22,"Disaster Relief & Rehabilitation, Nutrition & Food Security",New Delhi,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_350940
2026-09-16,DARPAN_625436,Sankalp Initiative 111,contact@sankalpiniti.org,Uttar Pradesh,Noida,Noida Taluk,Society,Registrar of Societies,SOC/763/2005/9605,"Societies Registration Act, 1860",2016-07-01,"Healthcare & Medical, Rural Development",Noida,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_625436
2026-09-16,DARPAN_625436,Sankalp Initiative 111 (Varanasi),contact@sankalpiniti.org,Uttar Pradesh,Noida,Noida Taluk,Society,Registrar of Societies,SOC/763/2005/9605,"Societies Registration Act, 1860",2016-07-01,"Healthcare & Medical, Rural Development",Varanasi,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_625436
2026-09-16,DARPAN_594797,Samarpan Association 112,contact@samarpanasso.org,Odisha,Cuttack,Cuttack Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/788/2004/6304,"Companies Act, 2013",2021-03-28,Nutrition & Food Security,Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_594797
2026-09-16,DARPAN_594797,Samarpan Association 112 (Puri),contact@samarpanasso.org,Odisha,Cuttack,Cuttack Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/788/2004/6304,"Companies Act, 2013",2021-03-28,Nutrition & Food Security,Puri,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_594797
2026-09-16,DARPAN_594797,Samarpan Association 112 (Sundargarh),contact@samarpanasso.org,Odisha,Cuttack,Cuttack Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/788/2004/6304,"Companies Act, 2013",2021-03-28,Nutrition & Food Security,Sundargarh,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_594797
2026-09-16,DARPAN_124262,Vikas Trust 113,,Kerala,Thrissur,Thrissur Taluk,Society,Registrar of Societies,SOC/925/2026/1786,"Societies Registration Act, 1860",2010-09-12,Women Empowerment,Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_124262
